State,School District,District ID,Year,PctBW,AIAN,Asian,API,Asian,HiPIs,Hisp,Black,White,2MoRac,Total,LEP
CA,Abc Unified,601620,2009,4.20%,9.10%,2.70%,2.70%,0.00%,0.00%,7.60%,11.50%,7.30%,0.00%,6.10%,6.00%
CA,Acalanes Union High,601650,2009,-3.00%,0.00%,0.70%,0.00%,0.70%,0.00%,3.30%,0.00%,3.00%,1.10%,2.90%,5.60%
CA,Adelanto Elementary,601710,2009,16.80%,0.00%,4.80%,0.00%,2.90%,12.50%,8.10%,28.10%,11.30%,16.00%,12.90%,7.00%
CA,Alameda City Unified,601770,2009,11.50%,33.30%,3.90%,0.00%,4.20%,2.50%,6.00%,17.60%,6.10%,0.00%,5.90%,5.10%
CA,Albany City Unified,601860,2009,9.00%,0.00%,2.20%,0.00%,2.40%,0.00%,2.20%,11.80%,2.80%,0.00%,3.60%,0.00%
CA,Alhambra Unified,600153,2009,-0.30%,0.00%,1.40%,0.00%,1.40%,0.00%,6.00%,3.60%,3.90%,2.20%,3.50%,3.40%
CA,Alisal Union Elementary,601950,2009,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.30%,0.00%,0.00%,0.00%,2.20%,1.30%
CA,Alpaugh Unified,602010,2009,-12.50%,0.00%,0.00%,0.00%,0.00%,0.00%,14.80%,0.00%,12.50%,0.00%,15.90%,15.40%
CA,Alpine Union Elementary,602100,2009,-2.30%,0.00%,0.00%,0.00%,0.00%,0.00%,3.20%,0.00%,2.30%,0.00%,2.20%,5.00%
CA,Alta Loma Elementary,602160,2009,3.10%,0.00%,2.00%,2.00%,0.00%,0.00%,2.50%,5.20%,2.10%,0.00%,2.60%,0.00%
CA,Alum Rock Union Elementary,602310,2009,6.10%,0.00%,1.80%,0.00%,1.40%,9.10%,4.90%,7.50%,1.50%,0.00%,4.40%,4.40%
CA,Alvord Unified,602430,2009,8.40%,16.70%,3.50%,0.00%,2.70%,11.10%,6.30%,13.70%,5.30%,5.20%,6.30%,6.10%
CA,Amador County Unified,602450,2009,22.60%,14.30%,11.10%,11.10%,0.00%,0.00%,6.10%,33.30%,10.70%,0.00%,10.00%,0.00%
CA,Anaheim City,602610,2009,0.20%,0.00%,1.50%,0.00%,0.80%,8.70%,2.90%,4.50%,4.30%,6.30%,2.90%,2.40%
CA,Anaheim Union High,602630,2009,7.10%,12.00%,3.30%,3.30%,0.00%,0.00%,12.00%,13.60%,6.50%,0.00%,9.70%,14.70%
CA,Anderson Valley Unified,602730,2009,-3.80%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.80%,0.00%,1.90%,0.00%
CA,Antioch Unified,602850,2009,14.00%,9.40%,4.10%,0.00%,1.50%,25.50%,7.30%,20.30%,6.20%,0.60%,9.40%,0.00%
CA,Apple Valley Unified,600017,2009,17.50%,7.70%,6.00%,6.00%,0.00%,0.00%,13.30%,27.40%,9.90%,0.00%,13.10%,13.50%
CA,Arcadia Unified,602970,2009,5.20%,0.00%,0.90%,0.90%,0.00%,0.00%,3.00%,6.90%,1.70%,0.00%,1.40%,0.80%
CA,Arvin Union Elementary,603270,2009,-5.90%,0.00%,0.00%,0.00%,0.00%,0.00%,6.30%,0.00%,5.90%,0.00%,6.20%,7.70%
